patientId,firstName,middleName,lastName,dateOfBirth,email,phone,address
786579303,David,,Peretz,1986-07-25,david.peretz@gmail.com,052-2719583,Eilat
193349856,Kobi,Ben,Lazar,1988-12-01,kobi.lazar@gmail.com,058-1445199,Eilat
313500298,Sapir,,Koren,1970-11-24,sapir.koren@gmail.com,057-5667265,Tel Aviv - Yafo
914763202,Eitan,,Yarkoni,1983-08-09,eitan.yarkoni@gmail.com,053-6647119,Beer-Sheva
199585092,Neta,,Yosef,1977-09-04,neta.yosef@hotmail.com,054-1728977,Ashdod
675770529,Itai,Michael,Berger,1952-02-19,itai.berger@hotmail.com,055-4226067,Beer-Sheva
149203558,Limor,, Dayan,2001-05-17,limor. dayan@checkpoints.com,053-2694522,Rehovot
398471886,Shani,,Gur,1993-12-10,shani.gur@gmail.com,055-4514944,Petah-Tikva
853573823,Dorit,Leah,Porat,1993-03-07,dorit.porat@hotmail.com,053-3741438,Ashdod
507437181,Tamar,,Gur,1988-10-30,tamar.gur@teva.com,055-1938483,Jerusalem
982403818,Yitzhak,,Melamed,2002-08-06,yitzhak.melamed@gmail.com,059-6279418,Jerusalem
803771909,Nir,,Zilber,1950-11-11,nir.zilber@walla.co.il,052-5443951,Haifa
364814270,Kim,,Shani,1941-07-07,kim.shani@hotmail.com,056-7700828,Herzeliya
335493870,Ariel,,Bar-On,1940-09-23,ariel.bar-on@gmail.com,051-3564251,Haifa
950488739,Dorit,,Lazar,1974-01-05,dorit.lazar@walla.co.il,059-8852574,Eilat
369953851,Gadi,,Levi,1998-04-04,gadi.levi@teva.com,058-5476583,Herzeliya
219778234,Shira,,Spector,2008-03-29,shira.spector@teva.com,054-9398441,Haifa
645119047,Ori,,Yadin,1951-03-18,ori.yadin@hotmail.com,059-4337174,Haifa
501486939,May,,Shapira,1938-09-05,may.shapira@hotmail.com,050-6438436,Ashdod
120912992,David,,Feldman,1980-12-11,david.feldman@gmail.com,050-5041154,Nahariya
184564737,Daniel,,Shamir,2002-04-29,daniel.shamir@checkpoints.com,058-3109911,Haifa
808402051,Ron,,Tamir,1961-03-12,ron.tamir@checkpoints.com,059-8099076,Jerusalem
679064766,Coral,,Shamir,1944-07-28,coral.shamir@gmail.com,056-7264956,Ashdod
655742829,Rotem,,Ohayon,2002-10-15,rotem.ohayon@gmail.com,050-4860684,Nahariya
336456621,Avraham,,Malka,2003-04-02,avraham.malka@gmail.com,051-1527021,Herzeliya
176082500,Eyal,,Eitan,1964-12-25,eyal.eitan@gmail.com,058-3219824,Nahariya
718702544,Ron,,Saban,1972-01-06,ron.saban@gmail.com,051-2626229,Rehovot
480424119,Gal,,Hoffman,1943-02-15,gal.hoffman@gmail.com,051-2016911,Rehovot
881913386,Roni,,David,1991-06-21,roni.david@hotmail.com,057-3351868,Rehovot
297018781,Maya,,Heller,2001-10-08,maya.heller@walla.co.il,058-2642635,Tel Aviv - Yafo
800235246,Lior,,Levi,1940-12-05,lior.levi@checkpoints.com,053-3790237,Rehovot
621453189,Ben,,Barkat,2003-04-10,ben.barkat@gmail.com,056-1036161,Rehovot
384759615,Shani,,Asulin,1942-12-30,shani.asulin@checkpoints.com,058-9164991,Haifa
303901283,Shira,,Barkat,1956-07-28,shira.barkat@teva.com,058-2022698,Herzeliya
161380746,Israel,,Sela,1960-11-19,israel.sela@gmail.com,050-9519948,Beer-Sheva
299528037,Chaim,,Gal,1987-06-07,chaim.gal@walla.co.il,051-5130808,Nahariya
738360085,Yaakov,Leah,Oz,1956-03-03,yaakov.oz@hotmail.com,058-6307805,Petah-Tikva
319321646,Osnat,,Ben-Gurion,1984-09-14,osnat.ben-gurion@walla.co.il,052-6033115,Ashdod
439492674,Coral,Sarah,Malka,1958-01-09,coral.malka@gmail.com,051-4576135,Eilat
384756779,Yosef,,Goldberg,1986-08-14,yosef.goldberg@gmail.com,054-3646552,Ashdod
995226828,Lior,,Eshkol,1949-11-11,lior.eshkol@hotmail.com,050-6022741,Beer-Sheva
244193987,Leah,,Omer,1941-12-05,leah.omer@hotmail.com,052-5569244,Petah-Tikva
749431082,Roy,,Ben-Gurion,1946-11-09,roy.ben-gurion@teva.com,054-9479356,Ashdod
369639388,Israel,,Azoulay,1983-09-17,israel.azoulay@gmail.com,050-6596150,Haifa
784095277,Leah,,Shapira,1959-01-15,leah.shapira@teva.com,056-1162230,Beer-Sheva
180792472,Meital,,Levine,1975-05-30,meital.levine@hotmail.com,058-3484601,Rehovot
236843584,Yaakov,,Aharon,1937-02-09,yaakov.aharon@checkpoints.com,050-7003042,Jerusalem
832363533,Rachel,,Livne,1958-04-21,rachel.livne@checkpoints.com,056-3592974,Jerusalem
274484941,Idan,Leah,Hoffman,1978-09-24,idan.hoffman@checkpoints.com,056-5163555,Petah-Tikva
270937380,Sivan,,David,2005-01-22,sivan.david@checkpoints.com,057-4731818,Jerusalem
976803188,Shani,,Goldberg,1937-03-07,shani.goldberg@checkpoints.com,053-4740036,Tel Aviv - Yafo
808705238,Alon,,Green,2002-04-22,alon.green@checkpoints.com,054-6891254,Eilat
529151399,Iris,,Dotan,2006-01-21,iris.dotan@gmail.com,054-3995870,Nahariya
385042337,Yitzhak,,David,1977-07-09,yitzhak.david@teva.com,055-8321474,Nahariya
649136331,David,,Altman,1991-06-25,david.altman@gmail.com,050-8315831,Tel Aviv - Yafo
658260221,Shahar,,Nir,1941-12-20,shahar.nir@teva.com,053-7110622,Rehovot
175133802,Osnat,,Weiss,1949-01-07,osnat.weiss@checkpoints.com,051-6038571,Eilat
432091877,Osnat,,Hoffman,1945-12-25,osnat.hoffman@gmail.com,058-3135534,Jerusalem
551450815,Osnat,,Berger,1992-12-02,osnat.berger@hotmail.com,059-6049101,Rehovot
688343096,Avraham,,Elbaz,1969-12-19,avraham.elbaz@checkpoints.com,059-6406444,Ashdod
574364121,Hadar,,Bareket,1966-01-30,hadar.bareket@checkpoints.com,052-2422633,Petah-Tikva
